"m (Meter)"	"qc (MN/m�)"	"fs (kN/m�)"	"u2 (kN/m�)"	"� (Ix)"	"� (Iy)"	" ()"	" ()"	" ()"	"Cm/s"
"2.15"	"0.37"	"43.340"	"40.64"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.16"	"0.37"	"43.360"	"39.81"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.17"	"0.37"	"43.300"	"39.74"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"2.18"	"0.37"	"43.620"	"40.00"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.19"	"0.37"	"43.800"	"40.32"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.20"	"0.37"	"44.040"	"40.28"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.21"	"0.37"	"44.240"	"40.28"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.22"	"0.37"	"45.000"	"40.66"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.23"	"0.37"	"45.960"	"41.02"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.24"	"0.36"	"47.380"	"41.56"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.37"	
"2.25"	"0.35"	"47.880"	"41.67"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.26"	"0.34"	"48.720"	"42.22"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.27"	"0.32"	"49.260"	"42.66"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.28"	"0.31"	"49.140"	"43.13"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.29"	"0.31"	"48.400"	"43.77"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.30"	"0.31"	"47.580"	"44.20"	"0.51"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.31"	"0.31"	"47.080"	"44.45"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.32"	"0.32"	"46.000"	"44.64"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.33"	"0.33"	"44.680"	"45.11"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.34"	"0.34"	"43.640"	"45.53"	"0.51"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.35"	"0.36"	"42.640"	"45.86"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.36"	"0.38"	"41.980"	"46.09"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.37"	"0.41"	"40.660"	"45.97"	"0.46"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.38"	"0.42"	"40.660"	"44.88"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.39"	"0.43"	"41.320"	"42.77"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.40"	"0.40"	"42.700"	"34.59"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.41"	"0.37"	"43.860"	"34.54"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"2.42"	"0.41"	"53.640"	"35.64"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"0.09"	
"2.43"	"0.40"	"52.500"	"31.69"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"2.44"	"0.39"	"52.460"	"33.23"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"2.45"	"0.39"	"52.420"	"33.85"	"0.51"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"2.46"	"0.39"	"51.720"	"34.28"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.47"	"0.38"	"51.280"	"34.87"	"0.57"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"2.48"	"0.38"	"51.180"	"35.61"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.49"	"0.38"	"51.060"	"36.56"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.50"	"0.38"	"50.800"	"37.18"	"0.57"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"2.51"	"0.38"	"50.880"	"37.51"	"0.57"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.52"	"0.38"	"50.340"	"37.90"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.53"	"0.38"	"50.300"	"38.30"	"0.57"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.54"	"0.38"	"49.200"	"38.60"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.55"	"0.37"	"48.120"	"38.83"	"0.57"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.56"	"0.38"	"47.180"	"39.63"	"0.57"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"2.57"	"0.39"	"46.360"	"39.97"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.58"	"0.40"	"46.100"	"40.34"	"0.57"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.59"	"0.41"	"46.320"	"40.82"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"2.60"	"0.42"	"46.700"	"41.08"	"0.57"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.61"	"0.42"	"47.040"	"41.04"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.62"	"0.42"	"48.020"	"41.50"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.30"	
"2.63"	"0.43"	"48.300"	"41.77"	"0.57"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.64"	"0.44"	"48.520"	"42.09"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.65"	"0.44"	"48.760"	"42.44"	"0.57"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.66"	"0.44"	"48.760"	"42.87"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"2.67"	"0.43"	"49.240"	"43.31"	"0.63"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.68"	"0.43"	"49.820"	"44.03"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"2.69"	"0.42"	"49.960"	"44.66"	"0.57"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.70"	"0.41"	"49.480"	"45.35"	"0.63"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.71"	"0.41"	"48.920"	"46.11"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.72"	"0.42"	"48.620"	"46.66"	"0.57"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.73"	"0.43"	"47.780"	"47.45"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"2.74"	"0.43"	"47.820"	"47.91"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.75"	"0.43"	"47.580"	"48.30"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.76"	"0.43"	"47.400"	"48.65"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.77"	"0.42"	"47.200"	"48.99"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.78"	"0.41"	"47.060"	"49.16"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"2.79"	"0.39"	"46.160"	"49.41"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.80"	"0.39"	"45.360"	"49.80"	"0.63"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.81"	"0.38"	"44.640"	"50.15"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"2.82"	"0.38"	"44.220"	"50.71"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.83"	"0.38"	"43.720"	"51.22"	"0.63"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.84"	"0.39"	"43.120"	"51.55"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"2.85"	"0.39"	"42.880"	"51.61"	"0.63"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.86"	"0.39"	"42.880"	"52.40"	"0.63"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.87"	"0.39"	"42.620"	"52.99"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.88"	"0.37"	"42.280"	"53.94"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"2.89"	"0.35"	"40.880"	"54.57"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"2.90"	"0.42"	"44.140"	"72.24"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"0.04"	
"2.91"	"0.49"	"43.460"	"73.43"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.36"	
"2.92"	"0.54"	"42.980"	"74.50"	"0.74"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"1.33"	
"2.93"	"0.59"	"43.740"	"75.68"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"2.94"	"0.62"	"42.520"	"72.94"	"0.63"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"2.95"	"0.64"	"41.260"	"49.44"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"2.96"	"0.67"	"39.020"	"31.51"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"2.97"	"0.68"	"38.680"	"29.93"	"0.74"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"2.98"	"0.67"	"38.140"	"28.60"	"0.74"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"2.99"	"0.64"	"39.080"	"29.82"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"3.00"	"0.62"	"40.560"	"34.17"	"0.74"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"3.01"	"0.59"	"37.060"	"35.14"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.02"	"0.56"	"31.840"	"34.21"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.03"	"0.53"	"25.820"	"33.17"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"0.08"	
"3.04"	"0.50"	"24.880"	"33.83"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.05"	"0.44"	"23.660"	"35.50"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.06"	"0.43"	"24.240"	"36.81"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"3.07"	"0.48"	"23.580"	"39.68"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"3.08"	"0.68"	"20.780"	"42.87"	"0.63"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.09"	"1.09"	"17.480"	"45.74"	"0.74"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.10"	"1.91"	"19.400"	"45.81"	"0.69"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.11"	"2.49"	"19.320"	"39.62"	"0.74"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.12"	"3.42"	"17.580"	"27.31"	"0.74"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.13"	"3.79"	"17.360"	"21.64"	"0.57"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"3.14"	"3.92"	"17.200"	"19.85"	"0.63"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.15"	"4.07"	"18.940"	"19.48"	"0.57"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"3.16"	"4.14"	"17.920"	"19.97"	"0.51"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.17"	"4.20"	"20.300"	"20.35"	"0.57"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"3.18"	"4.21"	"19.820"	"20.82"	"0.69"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.19"	"4.18"	"19.800"	"21.38"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"3.20"	"4.14"	"20.120"	"21.73"	"0.74"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.21"	"4.07"	"21.060"	"22.22"	"0.63"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.22"	"3.99"	"22.100"	"22.68"	"0.80"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"3.23"	"3.94"	"22.140"	"22.97"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.24"	"3.88"	"22.760"	"23.41"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.25"	"3.81"	"22.680"	"23.66"	"0.57"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.26"	"3.77"	"23.500"	"24.05"	"0.69"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.27"	"3.75"	"23.820"	"24.29"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.28"	"3.75"	"23.540"	"24.50"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.29"	"3.74"	"22.920"	"24.58"	"0.46"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.30"	"3.76"	"23.140"	"24.62"	"0.63"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.31"	"3.77"	"22.400"	"24.65"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.71"	
"3.32"	"3.81"	"22.340"	"24.45"	"0.74"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.33"	"3.84"	"21.880"	"24.59"	"0.63"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.34"	"3.89"	"22.080"	"24.94"	"0.57"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.35"	"3.93"	"22.440"	"26.24"	"0.69"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"3.36"	"4.01"	"22.320"	"27.97"	"0.63"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.37"	"4.09"	"22.920"	"28.73"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.38"	"4.25"	"23.080"	"28.93"	"0.74"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"3.39"	"4.47"	"23.600"	"29.15"	"0.57"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.40"	"4.66"	"23.500"	"29.02"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.41"	"5.02"	"24.120"	"27.92"	"0.63"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.42"	"5.32"	"24.380"	"27.01"	"0.63"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"3.43"	"5.80"	"25.300"	"24.91"	"0.80"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.44"	"6.14"	"25.040"	"23.17"	"0.80"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.45"	"6.58"	"25.000"	"22.51"	"0.63"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"3.46"	"7.03"	"24.960"	"23.60"	"0.74"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"3.47"	"7.60"	"26.380"	"17.13"	"0.51"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"3.48"	"7.80"	"25.720"	"11.12"	"1.03"	"0.17"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"3.49"	"7.99"	"24.700"	"13.18"	"0.74"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"1.71"	
"3.50"	"8.45"	"23.880"	"16.03"	"0.86"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"3.51"	"8.93"	"17.340"	"20.20"	"0.51"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"0.08"	
"3.52"	"9.42"	"21.740"	"21.40"	"0.92"	"1.47"	"Disabled"	"Disabled"	"Disabled"	"1.50"	
"3.53"	"9.49"	"20.980"	"22.46"	"1.20"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"3.54"	"9.73"	"21.200"	"22.76"	"0.80"	"0.28"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.55"	"9.88"	"24.780"	"22.00"	"0.29"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.56"	"9.79"	"24.020"	"23.19"	"0.97"	"0.34"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"3.57"	"9.95"	"28.440"	"23.08"	"0.29"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"3.58"	"10.10"	"26.240"	"22.98"	"0.74"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.59"	"10.02"	"28.180"	"23.77"	"0.46"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"3.60"	"10.01"	"29.820"	"24.63"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.61"	"9.85"	"32.300"	"24.57"	"0.06"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.62"	"9.81"	"37.560"	"24.93"	"0.63"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"3.63"	"9.79"	"38.660"	"24.46"	"0.74"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"3.64"	"9.76"	"40.700"	"24.07"	"0.51"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.65"	"9.53"	"39.800"	"24.57"	"0.69"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"3.66"	"9.65"	"42.840"	"24.84"	"0.80"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"3.67"	"9.66"	"48.520"	"24.59"	"0.51"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.68"	"9.77"	"46.660"	"24.83"	"0.63"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"3.69"	"9.92"	"43.400"	"24.81"	"0.80"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"3.70"	"10.07"	"45.380"	"25.22"	"0.69"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"3.71"	"10.24"	"46.640"	"25.21"	"0.80"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.72"	"10.51"	"48.220"	"25.24"	"0.74"	"0.34"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.73"	"10.80"	"48.400"	"25.28"	"0.69"	"0.45"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.74"	"11.19"	"46.960"	"25.34"	"0.74"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.75"	"11.62"	"46.340"	"25.49"	"0.69"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.30"	
"3.76"	"11.82"	"45.860"	"25.44"	"0.57"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.77"	"11.95"	"45.620"	"25.84"	"0.63"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.78"	"12.15"	"44.300"	"25.73"	"0.63"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.79"	"12.53"	"43.300"	"25.62"	"0.57"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"3.80"	"12.89"	"41.300"	"25.46"	"0.74"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.81"	"13.26"	"44.160"	"25.78"	"0.80"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.82"	"13.62"	"44.080"	"25.66"	"0.51"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.83"	"13.93"	"43.800"	"26.16"	"0.63"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.84"	"14.07"	"43.420"	"26.21"	"0.69"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.85"	"14.10"	"44.140"	"26.17"	"0.63"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.86"	"14.26"	"44.760"	"26.09"	"0.69"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.87"	"14.41"	"46.360"	"26.05"	"0.80"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.88"	"14.47"	"47.600"	"26.16"	"0.69"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.89"	"14.51"	"49.800"	"26.03"	"0.97"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.90"	"14.59"	"49.400"	"26.38"	"0.57"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.91"	"14.70"	"54.580"	"26.33"	"0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.92"	"14.89"	"56.500"	"26.22"	"0.40"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"3.93"	"14.88"	"53.060"	"26.05"	"0.51"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"3.94"	"14.86"	"57.700"	"26.06"	"0.51"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.95"	"14.84"	"55.320"	"26.71"	"0.63"	"0.40"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.96"	"14.85"	"56.120"	"27.24"	"0.69"	"0.34"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.97"	"15.03"	"55.400"	"26.84"	"0.46"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"3.98"	"13.80"	"53.600"	"27.54"	"0.74"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"0.02"	
"3.99"	"14.66"	"44.660"	"27.84"	"0.57"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"0.92"	
"4.00"	"15.06"	"42.820"	"27.79"	"0.80"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"1.10"	
"4.01"	"15.26"	"51.820"	"28.40"	"0.34"	"0.23"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"4.02"	"15.40"	"45.640"	"28.53"	"0.80"	"1.81"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"4.03"	"15.39"	"43.220"	"28.66"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.04"	"15.48"	"43.900"	"28.09"	"0.80"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.05"	"15.64"	"41.780"	"28.99"	"0.17"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"4.06"	"15.70"	"41.540"	"30.10"	"0.63"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.07"	"15.75"	"39.600"	"29.36"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.08"	"15.44"	"44.820"	"29.76"	"0.06"	"0.17"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"4.09"	"15.54"	"48.540"	"29.09"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"4.10"	"15.56"	"43.280"	"29.12"	"0.40"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.11"	"15.49"	"41.900"	"28.58"	"0.23"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"4.12"	"15.58"	"34.740"	"28.73"	"-0.06"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.13"	"15.56"	"34.800"	"28.91"	"0.40"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.14"	"16.04"	"34.220"	"28.76"	"0.92"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"4.15"	"16.13"	"31.080"	"28.84"	"0.06"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.16"	"16.39"	"30.840"	"29.08"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.17"	"15.50"	"40.480"	"29.74"	"0.00"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.18"	"15.48"	"48.720"	"30.86"	"0.29"	"0.00"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.19"	"15.26"	"80.560"	"30.14"	"0.00"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.20"	"15.57"	"67.800"	"29.83"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.21"	"15.57"	"62.620"	"30.06"	"0.06"	"0.40"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"4.22"	"15.47"	"63.580"	"31.99"	"0.29"	"0.45"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"4.23"	"15.39"	"74.940"	"31.57"	"0.23"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.24"	"15.50"	"74.480"	"31.25"	"0.51"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.25"	"15.42"	"74.720"	"32.79"	"0.34"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"4.26"	"15.44"	"79.340"	"32.56"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.27"	"15.45"	"84.320"	"32.66"	"0.40"	"0.45"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.28"	"15.50"	"85.880"	"32.75"	"0.40"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"4.29"	"15.55"	"91.140"	"32.50"	"0.11"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"4.30"	"15.60"	"95.680"	"32.06"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"4.31"	"15.65"	"95.960"	"31.77"	"0.40"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
